ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,TARGET
5002235,F,Y,Y,0,234000.0,Working,Secondary / secondary special,Married,House / apartment,-8310,-3766,1,0,0,0,Security staff,1,0
5002236,M,N,N,0,279300.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-17839,-1700,1,1,0,0,Laborers,2,0
5002237,M,N,N,0,246500.0,Working,Higher education,Married,House / apartment,-21461,-398,1,1,0,0,Sales staff,1,1
5002238,M,Y,Y,1,134400.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-15021,-1479,1,0,1,1,Low-skill Laborers,2,0
5002239,F,Y,Y,0,217500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-11691,365243,1,0,1,0,Security staff,2,1
5002240,M,Y,Y,1,294400.0,Commercial associate,Incomplete higher,Married,House / apartment,-22198,-658,1,1,0,0,Laborers,3,0
5002241,M,N,Y,0,218400.0,State servant,Secondary / secondary special,Married,House / apartment,-9480,-1721,1,0,1,1,HR staff,2,0
5002242,M,Y,Y,0,222100.0,Working,Incomplete higher,Widow,House / apartment,-19456,-3776,1,0,0,0,High skill tech staff,1,0
5002243,M,N,Y,0,311000.0,Working,Secondary / secondary special,Married,House / apartment,-10147,-1420,1,1,0,0,IT staff,2,1
5002244,M,N,N,1,285000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13887,-365,1,0,1,0,Realty agents,2,1
5002245,M,Y,N,0,194000.0,Working,Higher education,Single / not married,Municipal apartment,-24781,-1332,1,0,0,0,Waiters/barmen staff,2,1
5002246,M,Y,Y,1,374700.0,Working,Incomplete higher,Married,Rented apartment,-14875,-1984,1,0,0,0,Security staff,2,1
5002247,F,Y,Y,0,172500.0,Working,Secondary / secondary special,Married,House / apartment,-15567,-1638,1,0,0,0,Sales staff,2,0
5002248,M,Y,N,2,190400.0,Working,Lower secondary,Single / not married,House / apartment,-20174,-892,1,0,1,0,HR staff,3,0
5002249,M,N,N,0,232800.0,Working,Lower secondary,Married,House / apartment,-17067,-1488,1,0,0,0,Drivers,1,1
5002250,F,N,Y,2,279600.0,Commercial associate,Secondary / secondary special,Married,With parents,-22396,0,1,0,0,0,IT staff,4,0
5002251,F,N,Y,0,353500.0,Working,Secondary / secondary special,Married,House / apartment,-15687,0,1,0,1,0,Managers,1,1
5002252,M,N,Y,3,192800.0,Working,Higher education,Separated,House / apartment,-11463,0,1,0,0,0,Drivers,5,1
5002253,F,Y,N,2,235700.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-11792,-4785,1,0,0,0,Realty agents,3,1
5002254,F,N,N,0,375200.0,Commercial associate,Higher education,Separated,House / apartment,-23172,-3841,1,1,0,0,Medicine staff,1,1
5002255,F,N,Y,1,319000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22211,365243,1,1,0,0,IT staff,3,1
5002256,F,N,Y,0,263900.0,Working,Secondary / secondary special,Married,House / apartment,-19715,-3900,1,0,1,0,Cleaning staff,2,1
5002257,F,Y,Y,2,246400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21256,-884,1,0,0,0,IT staff,3,0
5002258,M,Y,Y,0,129000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-11373,365243,1,1,0,0,Laborers,1,0
5002259,F,N,N,0,278000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11106,-4109,1,0,0,0,Cooking staff,2,1
5002260,F,N,Y,0,198200.0,Working,Secondary / secondary special,Single / not married,House / apartment,-22895,-1263,1,0,0,0,Sales staff,2,0
5002261,F,Y,N,2,334100.0,Working,Secondary / secondary special,Married,House / apartment,-16661,-924,1,0,0,0,HR staff,4,1
5002262,F,Y,N,3,85000.0,Working,Secondary / secondary special,Married,House / apartment,-11993,-1782,1,0,0,0,Waiters/barmen staff,5,0
5002263,M,N,N,0,242500.0,Working,Higher education,Separated,Office apartment,-10978,-4930,1,0,1,0,Drivers,1,1
5002264,F,N,Y,0,142400.0,Working,Secondary / secondary special,Married,House / apartment,-18493,-1943,1,0,0,0,Secretaries,1,1
5002265,M,N,Y,1,158900.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-12001,-6175,1,0,0,0,Sales staff,2,1
5002266,F,Y,Y,0,455100.0,Working,Secondary / secondary special,Married,House / apartment,-20705,-1863,1,0,1,0,Realty agents,2,1
5002267,F,Y,Y,3,284400.0,Working,Higher education,Married,House / apartment,-12160,0,1,1,0,0,High skill tech staff,4,1
5002268,F,N,Y,0,190200.0,Pensioner,Higher education,Married,House / apartment,-24422,365243,1,0,1,0,Cleaning staff,2,1
5002269,F,N,Y,1,247200.0,Working,Secondary / secondary special,Married,House / apartment,-13741,-435,1,0,0,0,Secretaries,3,1
5002270,F,Y,N,0,214800.0,Working,Higher education,Married,House / apartment,-10864,-2288,1,0,1,1,Cleaning staff,1,0
5002271,F,N,N,4,332200.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-22736,-78,1,0,0,1,Secretaries,5,1
5002272,F,N,N,1,295500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-11449,365243,1,0,0,0,Medicine staff,3,0
5002273,F,N,N,3,540000.0,Working,Secondary / secondary special,Married,House / apartment,-16082,-1048,1,0,1,0,Cleaning staff,4,1
5002274,F,Y,N,0,259300.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-9267,-2560,1,0,1,0,Laborers,1,1
5002275,M,N,Y,0,151000.0,Pensioner,Incomplete higher,Married,House / apartment,-12195,365243,1,0,0,0,Waiters/barmen staff,2,0
5002276,F,N,Y,0,114300.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-11141,-2293,1,0,0,0,Cooking staff,2,0
5002277,M,Y,N,2,98500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-23616,-1833,1,0,0,0,Core staff,4,0
5002278,F,Y,N,0,320900.0,State servant,Secondary / secondary special,Married,With parents,-8066,-1948,1,0,1,0,Medicine staff,2,1
5002279,F,Y,N,0,241000.0,Working,Secondary / secondary special,Married,House / apartment,-14550,-2774,1,0,0,0,Laborers,2,1
5002280,F,Y,Y,1,214900.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-15924,-3923,1,0,0,0,Sales staff,3,0
5002281,M,N,N,0,163800.0,Pensioner,Higher education,Married,Office apartment,-9374,365243,1,0,0,0,Secretaries,1,1
5002282,M,N,Y,2,225800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19906,365243,1,1,1,0,Cleaning staff,4,1
5002283,F,Y,Y,2,294700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17306,-1455,1,0,0,0,Secretaries,3,1
5002284,M,N,Y,0,216700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-10339,365243,1,1,0,0,Low-skill Laborers,1,1
5002285,M,Y,Y,1,341000.0,Working,Secondary / secondary special,Married,House / apartment,-17462,0,1,0,0,0,Secretaries,3,1
5002286,F,N,Y,0,413200.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-8073,365243,1,0,0,0,HR staff,1,1
5002287,F,N,N,0,247300.0,Pensioner,Lower secondary,Single / not married,With parents,-14685,365243,1,0,0,0,High skill tech staff,2,0
5002288,M,Y,Y,2,209400.0,Commercial associate,Higher education,Married,House / apartment,-19046,0,1,0,1,0,HR staff,4,1
5002289,M,N,N,0,202700.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-15014,-3399,1,0,0,0,Security staff,2,0
5002290,F,N,Y,4,242700.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-16595,-3471,1,0,0,0,Laborers,6,1
5002291,F,Y,Y,0,246400.0,Working,Secondary / secondary special,Married,House / apartment,-19732,-1871,1,1,0,0,Core staff,2,1
5002292,F,N,Y,0,259700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14887,-3454,1,0,0,0,Sales staff,2,1
5002293,M,Y,Y,0,128200.0,Working,Secondary / secondary special,Married,Office apartment,-17660,-986,1,0,1,0,Waiters/barmen staff,2,0
5002294,M,Y,Y,0,256000.0,Working,Higher education,Married,Municipal apartment,-9524,-3587,1,0,0,0,High skill tech staff,2,1
5002295,M,N,Y,3,253800.0,Working,Lower secondary,Married,Municipal apartment,-16739,-1714,1,1,0,0,Cleaning staff,4,0
5002296,F,N,Y,1,291100.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9367,-2486,1,0,0,0,Security staff,3,0
5002297,M,Y,Y,1,307500.0,Working,Incomplete higher,Married,Rented apartment,-12670,-3670,1,0,0,1,Secretaries,2,1
5002298,M,Y,Y,3,350000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15244,-6061,1,0,1,0,Private service staff,4,1
5002299,F,Y,Y,0,263500.0,Working,Secondary / secondary special,Married,Office apartment,-24984,-4544,1,0,1,0,Waiters/barmen staff,2,0
5002300,F,Y,Y,0,308600.0,Commercial associate,Incomplete higher,Married,With parents,-23960,0,1,0,1,0,Managers,1,1
5002301,F,Y,Y,1,264600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17892,-1227,1,0,1,0,Cooking staff,2,1
5002302,F,N,Y,1,347500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-8649,-1141,1,0,0,0,Laborers,2,1
5002303,F,N,N,0,228700.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-24295,-281,1,1,0,0,IT staff,2,1
5002304,F,N,Y,1,191700.0,Working,Secondary / secondary special,Married,House / apartment,-20198,-523,1,1,0,0,Private service staff,2,1
5002305,M,N,N,0,238800.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-16229,-5127,1,1,0,0,High skill tech staff,2,0
5002306,F,Y,N,1,376800.0,Working,Higher education,Married,House / apartment,-12426,-2403,1,0,0,0,Realty agents,2,1
5002307,F,N,Y,2,196300.0,Pensioner,Secondary / secondary special,Married,House / apartment,-9811,365243,1,0,1,0,Core staff,4,0
5002308,F,N,N,0,374100.0,Pensioner,Incomplete higher,Married,House / apartment,-16862,365243,1,0,0,0,Managers,1,1
5002309,F,N,N,1,268100.0,Pensioner,Higher education,Single / not married,Office apartment,-10151,365243,1,1,1,0,Security staff,3,1
5002310,F,N,N,2,319800.0,State servant,Higher education,Separated,House / apartment,-10088,0,1,0,1,0,Medicine staff,4,0
5002311,M,Y,N,0,277100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18663,-1851,1,0,0,1,Sales staff,2,0
5002312,M,Y,Y,0,245300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23260,-1384,1,0,0,0,Managers,2,0
5002313,M,N,Y,2,126500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11842,-573,1,0,0,0,Private service staff,4,1
5002314,M,N,Y,0,190900.0,Pensioner,Higher education,Married,House / apartment,-24543,365243,1,0,0,0,Waiters/barmen staff,1,0
5002315,M,N,N,0,519400.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12674,-2852,1,1,0,0,Drivers,2,0
5002316,M,N,Y,0,137500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13406,0,1,0,0,0,Sales staff,1,0
5002317,F,Y,Y,0,336900.0,Commercial associate,Higher education,Married,House / apartment,-16778,-584,1,0,1,0,Drivers,2,1
5002318,F,Y,N,0,121700.0,Working,Academic degree,Married,House / apartment,-8746,-1803,1,0,0,0,Security staff,1,1
5002319,F,N,Y,2,399700.0,Working,Secondary / secondary special,Married,House / apartment,-14485,-18,1,1,0,0,Realty agents,3,1
5002320,M,Y,Y,0,294800.0,Working,Higher education,Married,House / apartment,-24470,-4571,1,0,0,0,Drivers,2,0
5002321,M,N,Y,0,172000.0,Commercial associate,Higher education,Single / not married,House / apartment,-15773,-1796,1,1,0,0,Private service staff,1,1
5002322,M,N,Y,3,177000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-20556,365243,1,0,0,0,Sales staff,5,0
5002323,M,Y,Y,0,239100.0,Working,Secondary / secondary special,Married,House / apartment,-11261,-7965,1,1,1,0,IT staff,2,0
5002324,M,Y,Y,0,118300.0,State servant,Higher education,Married,House / apartment,-18745,-1582,1,0,0,0,Cooking staff,2,1
5002325,F,N,N,3,345300.0,Working,Higher education,Married,House / apartment,-13038,-4019,1,0,1,0,Accountants,4,0
5002326,M,N,Y,0,184900.0,Working,Secondary / secondary special,Married,House / apartment,-23001,-2173,1,1,0,0,Sales staff,1,1
5002327,M,N,Y,0,143900.0,Pensioner,Lower secondary,Separated,House / apartment,-12792,365243,1,0,0,0,Core staff,2,1
5002328,F,Y,N,2,324000.0,State servant,Secondary / secondary special,Married,House / apartment,-9659,-1584,1,1,1,0,Low-skill Laborers,3,1
5002329,F,Y,Y,0,110800.0,Working,Secondary / secondary special,Separated,House / apartment,-14343,-3996,1,1,0,0,HR staff,1,0
5002330,F,Y,Y,0,229500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19884,-2838,1,1,0,0,Sales staff,1,1
5002331,M,Y,Y,2,160200.0,Working,Secondary / secondary special,Married,House / apartment,-11993,0,1,0,0,0,Security staff,4,1
5002332,F,Y,N,0,273900.0,Working,Secondary / secondary special,Married,Municipal apartment,-16987,-4229,1,0,0,0,Low-skill Laborers,2,1
5002333,M,N,Y,2,348000.0,Working,Higher education,Civil marriage,House / apartment,-14314,-1848,1,1,0,0,Security staff,4,1
5002334,F,Y,N,0,116800.0,Commercial associate,Secondary / secondary special,Separated,Rented apartment,-12536,-1801,1,0,0,1,HR staff,2,0
5002335,F,N,N,2,349200.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17782,-2806,1,0,0,0,Laborers,4,1
5002336,F,N,N,0,218100.0,Working,Secondary / secondary special,Married,House / apartment,-9458,-6825,1,1,0,0,Medicine staff,2,0
5002337,M,N,Y,0,153100.0,Working,Secondary / secondary special,Married,House / apartment,-12598,-2174,1,1,0,0,Secretaries,1,1
5002338,F,N,N,1,149600.0,State servant,Secondary / secondary special,Married,With parents,-21655,-2127,1,0,0,0,Waiters/barmen staff,3,0
5002339,M,Y,Y,0,218600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18020,-1586,1,0,0,1,High skill tech staff,1,0
5002340,M,N,Y,0,110800.0,Working,Lower secondary,Civil marriage,House / apartment,-10293,-2207,1,0,0,0,Core staff,2,1
5002341,M,Y,Y,1,215000.0,Working,Secondary / secondary special,Separated,House / apartment,-10645,-3122,1,0,1,0,Realty agents,3,0
5002342,F,Y,Y,2,225800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-11535,365243,1,0,0,0,Secretaries,4,1
5002343,M,N,N,0,281500.0,Working,Secondary / secondary special,Married,House / apartment,-22177,-2262,1,0,0,0,High skill tech staff,2,0
5002344,F,Y,Y,1,336500.0,Commercial associate,Secondary / secondary special,Married,With parents,-13818,-3266,1,1,0,0,HR staff,3,1
5002345,M,Y,Y,0,290900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9036,-1792,1,1,0,0,Cooking staff,2,1
5002346,F,N,Y,1,378400.0,Pensioner,Higher education,Married,House / apartment,-24231,365243,1,0,1,0,Accountants,3,0
5002347,F,N,Y,0,161600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14703,-3717,1,0,0,0,IT staff,1,1
5002348,M,Y,N,1,267900.0,Working,Secondary / secondary special,Separated,Rented apartment,-8146,-2163,1,0,0,1,Medicine staff,3,0
5002349,M,Y,Y,0,276500.0,Working,Secondary / secondary special,Married,House / apartment,-15541,-1433,1,0,0,0,Laborers,2,0
5002350,M,Y,N,0,375000.0,Working,Secondary / secondary special,Married,House / apartment,-16244,-70,1,0,1,0,Sales staff,2,1
5002351,F,N,Y,0,275000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-23653,-2689,1,0,0,0,Low-skill Laborers,2,1
5002352,M,N,N,0,177500.0,Working,Lower secondary,Married,House / apartment,-22097,-2174,1,0,1,0,Private service staff,2,0
5002353,F,Y,N,1,231800.0,Working,Secondary / secondary special,Single / not married,House / apartment,-22680,0,1,0,0,0,Managers,3,1
5002354,F,N,Y,0,269300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-22961,0,1,0,0,0,Realty agents,2,0
5002355,F,N,N,0,132200.0,Pensioner,Higher education,Single / not married,With parents,-12038,365243,1,1,1,0,Cooking staff,2,0
5002356,F,N,Y,0,393900.0,Working,Secondary / secondary special,Married,Municipal apartment,-9367,-1723,1,1,1,1,Security staff,1,1
5002357,F,N,Y,0,233300.0,Working,Incomplete higher,Civil marriage,House / apartment,-9787,-3521,1,0,1,0,Managers,2,1
5002358,F,N,Y,0,459500.0,Working,Secondary / secondary special,Married,House / apartment,-19971,-3186,1,0,0,0,Core staff,1,1
5002359,M,N,Y,3,139700.0,Working,Secondary / secondary special,Married,House / apartment,-22984,0,1,0,0,0,Managers,5,0
5002360,F,N,N,0,165100.0,Working,Higher education,Married,House / apartment,-11219,0,1,0,0,0,Private service staff,2,0
5002361,M,Y,N,0,280200.0,Working,Secondary / secondary special,Married,House / apartment,-23532,-2397,1,0,0,0,IT staff,2,1
5002362,F,Y,Y,0,203500.0,Working,Secondary / secondary special,Married,House / apartment,-21321,-931,1,0,0,0,Low-skill Laborers,2,0
5002363,F,Y,N,1,331000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-24334,-2980,1,0,0,0,Core staff,3,1
5002364,F,N,Y,1,239700.0,Working,Incomplete higher,Single / not married,House / apartment,-13514,-4836,1,0,0,0,Medicine staff,3,1
5002365,F,Y,Y,0,235300.0,State servant,Higher education,Separated,House / apartment,-14801,-1400,1,0,1,0,IT staff,2,1
5002366,M,N,N,0,232000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20497,0,1,0,0,0,Accountants,2,1
5002367,M,Y,Y,2,145500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19906,365243,1,0,1,0,Drivers,4,0
5002368,M,N,N,0,242000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9990,-2852,1,0,0,0,Sales staff,2,1
5002369,F,Y,Y,2,161400.0,Working,Secondary / secondary special,Married,House / apartment,-22716,-5558,1,1,1,0,Private service staff,3,1
5002370,F,N,Y,0,466800.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-10188,365243,1,1,0,0,Managers,2,1
5002371,M,N,Y,2,102900.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23632,365243,1,0,1,0,Waiters/barmen staff,3,0
5002372,M,N,Y,2,253800.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18745,-859,1,0,0,0,Core staff,4,0
5002373,M,N,Y,0,265400.0,Working,Secondary / secondary special,Married,House / apartment,-11953,-1446,1,0,0,0,Private service staff,2,1
5002374,M,N,Y,0,281200.0,Student,Higher education,Civil marriage,House / apartment,-10742,-4207,1,0,0,0,Accountants,2,1
5002375,M,N,Y,0,308600.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-17510,365243,1,0,1,1,Cooking staff,1,1
5002376,F,N,N,2,123100.0,Working,Secondary / secondary special,Married,House / apartment,-23054,-3479,1,1,0,0,Cooking staff,4,0
5002377,F,N,Y,0,269100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21953,-1882,1,0,1,1,Medicine staff,2,0
5002378,M,N,Y,0,226700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-9873,365243,1,0,0,0,Accountants,2,1
5002379,F,N,Y,1,214500.0,Working,Secondary / secondary special,Separated,Municipal apartment,-7921,-4785,1,0,0,0,Accountants,3,1
5002380,F,N,Y,1,523000.0,Working,Secondary / secondary special,Married,House / apartment,-20189,-870,1,0,0,1,Sales staff,3,0
5002381,M,N,Y,0,323600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-24108,-4030,1,0,0,0,Low-skill Laborers,2,1
5002382,M,N,Y,0,360800.0,Working,Secondary / secondary special,Married,House / apartment,-12685,-830,1,1,1,0,Private service staff,2,0
5002383,M,N,Y,0,137400.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-22235,-4053,1,0,1,1,Cooking staff,1,1
5002384,M,Y,N,0,232900.0,Working,Higher education,Married,House / apartment,-21709,-1842,1,1,1,0,Accountants,1,1
5002385,F,Y,Y,0,302500.0,Pensioner,Higher education,Married,House / apartment,-14313,365243,1,0,0,0,Realty agents,2,1
5002386,F,N,Y,2,241100.0,Working,Higher education,Married,House / apartment,-21992,-597,1,0,0,1,Sales staff,3,0
5002387,M,N,N,3,350400.0,Working,Secondary / secondary special,Married,House / apartment,-12459,0,1,0,1,0,Low-skill Laborers,5,0
5002388,F,N,Y,2,175400.0,Working,Higher education,Separated,House / apartment,-20603,-4503,1,0,0,1,Waiters/barmen staff,4,1
5002389,M,N,Y,0,339200.0,Working,Secondary / secondary special,Widow,House / apartment,-13675,-1468,1,1,0,0,Secretaries,1,1
5002390,F,N,Y,0,204300.0,Working,Higher education,Married,House / apartment,-8718,-365,1,0,0,0,High skill tech staff,2,1
5002391,F,Y,Y,0,160400.0,Working,Secondary / secondary special,Married,House / apartment,-16086,-6245,1,0,0,0,Low-skill Laborers,1,0
5002392,M,N,N,0,241900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18487,365243,1,0,0,0,Medicine staff,1,1
5002393,M,Y,Y,2,219000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-18704,0,1,1,0,0,Accountants,4,1
5002394,F,N,N,1,132300.0,Working,Secondary / secondary special,Married,House / apartment,-10461,-2551,1,0,0,0,Sales staff,3,1
5002395,F,N,Y,3,233900.0,State servant,Higher education,Separated,House / apartment,-22829,-2498,1,0,1,0,Waiters/barmen staff,5,1
5002396,M,Y,N,2,318500.0,Working,Secondary / secondary special,Married,House / apartment,-22215,-4019,1,1,0,0,Waiters/barmen staff,4,0
5002397,M,N,Y,0,369300.0,Working,Higher education,Married,House / apartment,-23809,-4368,1,0,0,0,Waiters/barmen staff,2,1
5002398,M,N,N,0,301700.0,Commercial associate,Incomplete higher,Married,House / apartment,-9441,-1721,1,0,0,0,Sales staff,2,0
5002399,F,Y,Y,2,170800.0,State servant,Secondary / secondary special,Married,With parents,-23829,-3022,1,1,0,1,Waiters/barmen staff,4,0
5002400,F,N,Y,1,263600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-10554,365243,1,0,0,0,Waiters/barmen staff,3,1
5002401,F,N,Y,2,125400.0,Working,Higher education,Married,House / apartment,-24624,-30,1,1,0,0,High skill tech staff,4,0
5002402,F,N,N,0,287300.0,Working,Secondary / secondary special,Married,House / apartment,-16228,-2665,1,0,0,0,High skill tech staff,2,1
5002403,F,Y,Y,0,278000.0,Working,Secondary / secondary special,Separated,Rented apartment,-24373,-4907,1,0,0,0,IT staff,1,0
5002404,F,Y,Y,0,170100.0,Working,Secondary / secondary special,Married,With parents,-20386,-3877,1,0,0,0,Waiters/barmen staff,1,1
5002405,M,N,N,0,202300.0,Working,Secondary / secondary special,Married,House / apartment,-9301,-1257,1,0,0,0,Sales staff,2,0
5002406,F,Y,N,0,254100.0,Working,Secondary / secondary special,Single / not married,With parents,-11114,-2845,1,0,0,0,Waiters/barmen staff,2,0
5002407,M,Y,N,0,276700.0,Working,Secondary / secondary special,Single / not married,Co-op apartment,-17486,-3749,1,0,0,0,Security staff,2,1
5002408,M,N,Y,0,323400.0,Working,Secondary / secondary special,Separated,With parents,-22908,-134,1,0,1,1,Realty agents,2,1
5002409,F,N,Y,0,124600.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-23570,-2483,1,1,0,0,Private service staff,2,0
5002410,F,N,N,0,121100.0,Working,Academic degree,Separated,House / apartment,-22416,0,1,0,0,0,Low-skill Laborers,1,1
5002411,F,N,Y,1,116700.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-17791,0,1,0,1,0,Drivers,3,0
5002412,M,Y,N,0,257000.0,Pensioner,Higher education,Civil marriage,House / apartment,-17251,365243,1,0,0,0,Low-skill Laborers,2,1
5002413,F,Y,Y,1,298100.0,Pensioner,Higher education,Single / not married,House / apartment,-10863,365243,1,0,0,0,High skill tech staff,3,0
5002414,F,N,N,0,207900.0,Working,Incomplete higher,Married,House / apartment,-17904,-1797,1,0,0,1,IT staff,2,1
5002415,M,N,Y,1,200000.0,Working,Secondary / secondary special,Married,House / apartment,-11281,-2001,1,1,0,0,Core staff,3,0
5002416,M,Y,Y,0,159400.0,Working,Higher education,Married,House / apartment,-8770,-1032,1,0,0,0,Laborers,2,0
5002417,F,N,N,2,306900.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-16725,365243,1,0,1,0,Private service staff,3,1
5002418,M,Y,N,1,246800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-8011,365243,1,0,0,1,Realty agents,3,1
5002419,F,N,N,0,273300.0,State servant,Secondary / secondary special,Separated,House / apartment,-13710,-2548,1,0,1,0,Private service staff,2,1
5002420,M,N,Y,1,214700.0,State servant,Secondary / secondary special,Separated,Rented apartment,-9573,-2308,1,0,0,0,Secretaries,2,0
5002421,M,N,Y,0,203700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-8631,365243,1,0,0,0,Accountants,2,1
5002422,F,Y,N,0,227700.0,Working,Higher education,Married,House / apartment,-14818,-2500,1,0,0,0,Secretaries,2,0
5002423,M,Y,Y,0,219800.0,Working,Secondary / secondary special,Married,House / apartment,-15127,-370,1,0,0,0,Secretaries,2,1
5002424,F,N,Y,1,358700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-13547,365243,1,0,0,0,Low-skill Laborers,2,1
5002425,F,N,Y,1,153400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15604,365243,1,0,1,1,Core staff,3,1
5002426,M,N,Y,2,309000.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-9589,0,1,0,0,1,Drivers,3,1
5002427,F,Y,Y,0,184800.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-20070,0,1,0,0,0,Cooking staff,2,1
5002428,F,N,Y,0,200500.0,Working,Secondary / secondary special,Married,House / apartment,-23995,-3175,1,0,1,0,Secretaries,1,0
5002429,F,Y,N,0,256800.0,Working,Secondary / secondary special,Married,Municipal apartment,-24047,-2111,1,1,0,0,Medicine staff,2,1
5002430,F,Y,N,1,295200.0,Working,Secondary / secondary special,Married,Municipal apartment,-18545,0,1,0,0,0,Private service staff,3,0
5002431,F,Y,Y,0,216200.0,State servant,Lower secondary,Married,House / apartment,-9797,-3289,1,0,0,0,Core staff,2,1
5002432,F,Y,Y,0,148700.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-22450,-2429,1,0,0,0,Drivers,2,0
5002433,M,Y,Y,4,407600.0,Pensioner,Higher education,Married,Rented apartment,-21165,365243,1,0,0,0,Core staff,5,1
5002434,F,Y,N,0,128800.0,Working,Secondary / secondary special,Married,House / apartment,-16479,-989,1,1,0,0,Core staff,2,1
5002435,F,N,N,0,151600.0,Working,Secondary / secondary special,Married,House / apartment,-23371,-3066,1,0,0,1,IT staff,2,1
5002436,F,N,Y,0,375300.0,Working,Secondary / secondary special,Single / not married,House / apartment,-24553,-3402,1,0,0,0,IT staff,2,0
5002437,F,N,N,0,338300.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11573,-3284,1,0,0,0,IT staff,2,1
5002438,F,Y,Y,0,387400.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-11989,-1873,1,0,1,0,High skill tech staff,2,0
5002439,F,N,N,0,184500.0,State servant,Secondary / secondary special,Separated,House / apartment,-14752,-3769,1,0,0,0,Medicine staff,2,0
